"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-09-30","33613,31","33476,24","33801,42","33801,17","+1,15"
"2005-09-29","33317,81","33224,42","33522,34","33418,46","+0,1"
"2005-09-28","33947,55","33348,63","34038,28","33384,68","-1,12"
"2005-09-27","33577,35","33446,33","33881,65","33761,72","+0,83"
"2005-09-26","33121,54","32921,13","33595,96","33482,25","+0,78"
"2005-09-23","33404,09","32890,44","33420,45","33223,87","-0,65"
"2005-09-22","33442,64","33363,68","33673,05","33440,06","-0,28"
"2005-09-21","33604,94","33337,26","33620,37","33535,21","-0,66"
"2005-09-20","34278,09","33415,15","34343,46","33756,89","-0,47"
"2005-09-19","33340,08","33235,32","33960,18","33916,85","+1,99"
"2005-09-16","33054,57","32965,4","33308,67","33256,34","+1,03"
"2005-09-15","32403,76","32403,76","33019,29","32916,96","+1,38"
"2005-09-14","32330,42","32221,01","32468,53","32468,53","+0,12"
"2005-09-13","32621,91","32428,31","32682,01","32428,31","+0,01"
"2005-09-12","32214,11","32150,53","32426,52","32426,52","+1,07"
"2005-09-09","31828,12","31828,12","32132,65","32084,46","+1,1"
"2005-09-08","31863,39","31698,06","31904,64","31734,5","-0,5"
"2005-09-07","31918,55","31626,33","31980,13","31893,73","+0,08"
"2005-09-06","31696,51","31681,73","31867,64","31867,64","+0,51"
"2005-09-05","31877,59","31706,86","31975,14","31706,86","-0,79"
"2005-09-02","32000,56","31800,79","32171,8","31959,33","+0,24"
"2005-09-01","31479,57","31479,57","31959,84","31884,02","+1,66"
"Liczba wierszy ograniczona do 50"
