"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2006-01-31","38994,74","37830,76","38994,74","37854,95","-3,21"
"2006-01-30","39082,97","38855,84","39167,21","39109,05","+0,01"
"2006-01-27","39152,21","38725,12","39224","39106,99","+0,25"
"2006-01-26","39557,8","38940,89","39557,8","39008,07","-0,87"
"2006-01-25","39258,97","39107,96","39421,97","39351,63","+1,15"
"2006-01-24","39074,8","38692,77","39211,64","38906,01","-0,07"
"2006-01-23","38517,42","38313,95","39005,89","38932,16","-0,21"
"2006-01-20","38956,2","38827,9","39160,39","39013,09","+0,59"
"2006-01-19","38094,91","38094,91","38902,79","38782,85","+2,45"
"2006-01-18","37479,11","37405,52","37888,91","37854,94","-0,72"
"2006-01-17","38099,21","37931,06","38217,65","38129,38","-0,02"
"2006-01-16","37547,29","37494,62","38140,12","38138,21","+1,43"
"2006-01-13","37681,09","37495","37735,97","37599,52","-1,24"
"2006-01-12","38051,66","37796,17","38085,32","38071,1","-0,05"
"2006-01-11","37750,6","37677,24","38161,37","38090,99","+1,75"
"2006-01-10","37753,22","37435,49","37865,55","37435,49","-0,96"
"2006-01-09","38271,54","37798,66","38591,68","37798,66","-0,32"
"2006-01-06","37674,73","37484,34","38136,62","37921,06","+0,84"
"2006-01-05","37663,39","37428,36","37697,07","37603,47","-0,07"
"2006-01-04","37225,05","37104,29","37631,17","37631,17","+2,22"
"2006-01-03","36153,49","36100,75","36953,49","36814,06","+2,13"
"2006-02-28","39468,2","38632,66","39819,21","38854,37","-3,04"
"2006-02-27","39967,92","39698,84","40120,66","40073,44","+0,7"
"2006-02-24","39292,53","39216,7","39793,98","39793,98","+1,46"
"2006-02-23","39124,11","39042,69","39273,76","39222,51","+0,24"
"2006-02-22","39226,86","38955,9","39318,96","39128,31","-0,07"
"2006-02-21","39277,11","38958,6","39304,2","39153,88","-0,03"
"2006-02-20","38844,88","38746,63","39277,08","39165,23","+1,4"
"2006-02-17","37734,51","37619,45","38625,78","38625,78","+2,73"
"2006-02-16","38166,24","37587,53","38204,01","37599,64","-1,34"
"2006-02-15","38118,48","37836,26","38149,89","38109,01","+0,34"
"2006-02-14","37983,93","37844,92","38109,01","37978,92","+0,84"
"2006-02-13","37654,63","37652,53","38048","37664,27","-0,55"
"2006-02-10","38219,51","37826,96","38281,81","37870,88","-1,21"
"2006-02-09","38369,45","38257,43","38568,44","38335,51","+0,45"
"2006-02-08","38010,79","37697,93","38257,08","38162,66","-0,35"
"2006-02-07","38229,85","37806,61","38297,47","38297,47","+0,59"
"2006-02-06","37382,21","37382,21","38072,14","38072,14","+2,28"
"2006-02-03","37797,58","37134,8","37797,58","37221,99","-1,96"
"2006-02-02","38260,66","37874,83","38327,49","37964,75","-0,19"
"2006-02-01","37423,17","37360,87","38038,03","38038,03","+0,48"
"2006-03-31","40195,82","39946,38","40317,12","40220,32","+0,26"
"2006-03-30","39944,57","39944,57","40276,95","40115,91","+1,25"
"2006-03-29","39305,47","38917,16","39621,08","39621,08","+0,23"
"2006-03-28","40031,92","39528,25","40031,92","39528,25","-1,28"
"2006-03-27","39756,72","39743,34","40040,49","40040,49","+0,96"
"2006-03-24","39730,77","39619,89","39937,79","39660,78","+0,48"
"2006-03-23","39009,76","39009,76","39471,42","39471,42","+1,49"
"2006-03-22","38698,05","38538,13","38964,18","38890,72","-0,21"
"2006-03-21","39068,2","38859,97","39164,58","38973,86","-0,54"
"2006-03-20","39293,91","39092,79","39450,05","39183,95","-0,08"
"2006-03-17","39279,3","39122,13","39722,76","39214,4","+0,46"
"2006-03-16","38416,68","38370,3","39033,23","39033,23","+2,13"
"2006-03-15","37987,6","37977,35","38403,35","38218,89","+1,45"
"2006-03-14","37850,95","37517,29","37850,95","37672,48","-0,81"
"2006-03-13","38058,61","37700,88","38126,29","37978,94","+0,1"
"2006-03-10","38147,37","37510,21","38176,62","37942,08","-0,51"
"2006-03-09","38194,02","37902,89","38392,91","38136,21","+0,25"
"2006-03-08","38683,94","37799,13","38728,56","38039,72","-1,86"
"2006-03-07","39410,28","38357,48","39410,28","38761,67","-2,23"
"2006-03-06","39387,22","39205,74","39645,52","39645,52","+0,73"
"2006-03-03","39693,08","38998,24","39693,08","39357,01","-0,57"
"2006-03-02","39329,15","39179,75","39610,92","39584,2","+0,99"
"2006-03-01","39025,9","38827,01","39225,37","39195,01","+0,88"
