"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2006-04-28","43513,44","43454,82","43998,59","43998,59","+0,81"
"2006-04-27","44827,5","43278,13","44836,21","43646,64","-2,33"
"2006-04-26","44500,49","44037,69","44688,66","44688,66","+0,92"
"2006-04-25","44348,37","43917,21","44428,56","44281,2","-0,37"
"2006-04-24","43962,21","43921,75","44545,74","44446,2","+1,06"
"2006-04-21","43174,03","42942,6","44126,03","43979,52","+0,93"
"2006-04-20","42877,89","42589,76","43572,66","43572,66","+2,01"
"2006-04-19","43291,7","42554,42","43293,49","42715,47","-0,01"
"2006-04-18","42352,59","42338,63","42866,82","42717,75","+1,66"
"2006-04-13","41905,5","41871,79","42262,64","42018,42","+0,55"
"2006-04-12","41216,57","41170,2","41790,11","41790,11","+0,83"
"2006-04-11","41716,37","41303,92","41915,6","41446,29","-0,79"
"2006-04-10","41900,4","41582,19","42027,26","41776,32","-0,11"
"2006-04-07","41445,41","41423,94","41945,74","41823,15","+1,47"
"2006-04-06","41180,54","41010,86","41286,57","41216,45","+0,96"
"2006-04-05","41097,65","40794,21","41282,93","40825,95","-0,25"
"2006-04-04","40852,61","40611,55","40929,2","40929,2","+0,15"
"2006-04-03","40199,06","40191,63","40867,61","40867,61","+1,61"
"2006-05-31","39098,31","38946,88","40037,16","39632,25","-0,72"
"2006-05-30","40148,65","39504,11","40160,4","39918,83","-1,3"
"2006-05-29","40899,48","40344,7","41079,97","40446,26","-0"
"2006-05-26","40571,56","40336,29","40767,62","40446,42","+1,52"
"2006-05-25","39311,94","38368,71","39968,53","39841,74","+1,14"
"2006-05-24","40498,34","39222,45","40966,41","39393,33","-3,48"
"2006-05-23","40206,28","38476,8","41015,06","40815,61","+1,07"
"2006-05-22","42328,86","40181,58","42356,89","40384,46","-5,33"
"2006-05-19","43128,7","42417,39","43260,42","42656,79","-0,46"
"2006-05-18","42551,07","42270,28","43074,02","42853,98","-0,51"
"2006-05-17","44324,64","43024,09","44619,94","43072,07","-2,1"
"2006-05-16","43643,82","43213,64","44033,49","43995","-0,01"
"2006-05-15","44968,58","43840,86","44995,25","43998,44","-3,07"
"2006-05-12","45493,67","45125,47","45586,56","45390,27","-1,1"
"2006-05-11","45189,24","45077","45894,55","45894,55","+2,45"
"2006-05-10","45140,78","44740,94","45206,66","44798,12","-0,32"
"2006-05-09","45402,01","44904,46","45438,07","44939,95","-1,43"
"2006-05-08","45549","45152,2","45644,6","45591,9","+1,16"
"2006-05-05","45124,85","44567,16","45198,5","45070,86","+0,67"
"2006-05-04","44250,17","44140,81","44769,32","44769,32","+1,63"
"2006-06-30","40937,04","40455,12","41094,09","40644,58","+1,65"
"2006-06-29","40220,51","39820,85","40459,18","39986,18","-0,34"
"2006-06-28","39040,17","38985,8","40124,08","40124,08","+1,44"
"2006-06-27","38184,28","38150,63","39561,69","39552,76","+4,14"
"2006-06-26","37378,02","37378,02","37980,85","37980,85","+1,55"
"2006-06-23","37260,43","36858,39","37402,61","37402,61","+0,47"
"2006-06-22","38030,85","37225,96","38200,92","37225,96","-0,6"
"2006-06-21","37369,89","36902,08","37640,82","37449,69","+0,71"
"2006-06-20","36804,64","36742,49","37485,98","37187,27","+0,07"
"2006-06-19","36725,07","36482,14","37160,35","37160,35","+2,26"
"2006-06-16","37440,8","36340,62","37618,05","36340,62","+0,89"
"2006-06-14","36132,94","35255,75","36368,58","36020,66","-0,35"
"2006-06-13","35894,65","34768,27","36357,29","36148,34","-3,41"
"2006-06-12","38473,38","37066,48","38473,63","37425,81","-3,44"
"2006-06-09","39481,12","38576,64","39685,13","38758,3","-1,28"
"2006-06-08","39425,31","38841,91","39425,31","39259,1","-2,4"
"2006-06-07","40534,27","39930,77","40586,6","40226,29","-0,31"
"2006-06-06","40746,13","40314,82","40916,03","40352,53","-2,14"
"2006-06-05","40864,25","40786,87","41503,43","41234,43","+0,77"
"2006-06-02","40482,34","40442,57","41068,36","40917,49","+2,37"
"2006-06-01","40009,49","39722,06","40171,44","39970,99","+0,85"
