"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2006-07-31","45899,06","45598,26","46194,73","45894,89","+0,25"
"2006-07-28","45640,81","45344,7","45900,19","45781,7","+0,07"
"2006-07-27","44764,46","44663,71","45750,76","45750,76","+3,06"
"2006-07-26","44038,65","43870,32","44452,9","44392,66","+0,75"
"2006-07-25","43873,49","43770,99","44358,17","44063,27","+0,99"
"2006-07-24","43341,06","43259,71","43680","43630,03","+0,49"
"2006-07-21","43294,01","43227,77","43659,27","43418,01","-0,42"
"2006-07-20","43056,07","43001,12","43671,19","43600,19","+3,13"
"2006-07-19","42137,81","41875,07","42348,23","42278,45","+0,48"
"2006-07-18","41487,94","41487,94","42218,49","42076,38","+1,37"
"2006-07-17","42035,67","41363,6","42035,67","41508,16","-1,2"
"2006-07-14","41270,31","41270,31","42147,18","42010,8","-0,17"
"2006-07-13","43271,81","41855,52","43331,27","42080,59","-3,37"
"2006-07-12","43381,99","43244,58","44005,62","43549,11","+1,35"
"2006-07-11","43354,5","42863,72","43745,45","42967,63","-0,69"
"2006-07-10","42108,15","42106,15","43581,43","43265,63","+0,91"
"2006-07-07","42020,15","41865,54","42958,13","42875,6","+2,11"
"2006-07-06","40920,86","40776,1","42002,65","41991,45","+2,88"
"2006-07-05","41207,86","40726,46","41281,2","40814,39","-0,77"
"2006-07-04","40828,66","40795,08","41241,98","41132,03","+0,91"
"2006-07-03","40836,63","40383,07","41019,93","40760,21","+0,28"
"2006-08-31","44001,03","43328,59","44139,48","43363,32","-0,97"
"2006-08-30","43429,55","43418,79","43921,48","43787,24","+1,06"
"2006-08-29","42593,53","42593,53","43405,3","43330","+2,23"
"2006-08-28","42351,1","42059,64","42516,35","42384,4","-0,47"
"2006-08-25","43003,24","42325,62","43120,61","42583,71","-0,74"
"2006-08-24","43292,24","42829,38","43354,27","42900,39","-1,42"
"2006-08-23","43538,74","43323,31","43606,44","43516,97","+0,01"
"2006-08-22","43559,02","43253,89","43614,29","43513,69","+0,74"
"2006-08-21","43135,99","42977,76","43447,51","43194,29","+0,06"
"2006-08-18","42848,29","42702,73","43185,51","43166,87","+0,46"
"2006-08-17","43526,08","42871,2","43570,3","42968,6","-1"
"2006-08-16","43454,74","43121,23","43555,36","43402,61","+0,99"
"2006-08-14","42924,76","42634,75","43053,28","42977,02","+0,55"
"2006-08-11","44115,76","42742,67","44360,01","42742,67","-2,32"
"2006-08-10","44280,76","43497,5","44290,95","43758,99","-1,71"
"2006-08-09","43909,15","43590,47","44547,16","44519,14","+2,09"
"2006-08-08","43748,22","43462,34","43886,57","43609,44","-0,09"
"2006-08-07","43690,89","43104,62","43899,37","43648,7","-0,81"
"2006-08-04","43644,87","43297,52","44071,3","44003,29","+1,14"
"2006-08-03","44756,39","43373,74","44762,97","43507,4","-2,75"
"2006-08-02","45055,58","44350,2","45186,16","44735,66","-0,85"
"2006-08-01","46118,23","45102,8","46153,37","45121,18","-1,69"
"2006-09-29","44546,61","43998,92","44568,91","44052,54","-0,69"
"2006-09-28","44027,4","44027,4","44578,37","44360,14","+0,83"
"2006-09-27","44612,87","43730,48","44612,87","43995,91","-0,88"
"2006-09-26","44497,18","44248,09","44613,05","44387,9","+0,37"
"2006-09-25","44020,03","43907,31","44222,21","44222,21","+1,03"
"2006-09-22","43663,54","43376,34","43964,24","43772,07","-0,65"
"2006-09-21","44068,05","43888,44","44433,77","44057,54","-0,27"
"2006-09-20","44429,64","43901,57","44487,24","44176,62","-1,08"
"2006-09-19","44848,92","44450,31","44854,21","44659,39","-0,47"
"2006-09-18","44586,07","44402,12","45007,08","44870,85","+1,17"
"2006-09-15","44227,94","44004,37","44352,51","44352,51","-0,17"
"2006-09-14","44884,46","44303,19","44986","44429,85","-0,82"
"2006-09-13","44418,88","44418,88","44863,86","44795,81","+1,14"
"2006-09-12","43723,49","43448,09","44289,74","44289,74","+1,19"
"2006-09-11","43735,26","43344,84","43947,4","43768,52","-0,69"
"2006-09-08","44419,08","43904,5","44520,8","44071,87","-0,52"
"2006-09-07","44477,28","44052,86","44477,28","44301,11","-0,93"
"2006-09-06","44996,04","44442,63","45011,57","44716,62","-0,7"
"2006-09-05","44826,79","44539,42","45115,46","45033,33","+0,59"
"2006-09-04","43808,36","43675,84","44831,32","44770,05","+2,95"
"2006-09-01","43405,24","43283,01","43589,27","43488,03","+0,29"
