"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2006-10-31","47335,62","47244","47589,7","47358,12","+0,32"
"2006-10-30","47385,73","47030,35","47412,02","47209,15","-1,16"
"2006-10-27","48232,37","47615,77","48279,87","47761,04","-1,14"
"2006-10-26","48471,99","48141,44","48555,73","48310,22","+0,75"
"2006-10-25","47659,55","47537,34","47951,5","47951,5","+0,9"
"2006-10-24","47483,9","47341,39","47683,16","47523,51","+0,19"
"2006-10-23","47678,18","47174,97","47753,77","47432,27","-0,27"
"2006-10-20","48087,83","47365,91","48253,88","47562,92","-0,55"
"2006-10-19","47454,05","47434,54","47823,87","47823,87","+0,36"
"2006-10-18","46934,35","46831,77","47789,61","47651","+1,79"
"2006-10-17","47321,68","46812,97","47463,06","46812,97","-1,23"
"2006-10-16","47315,45","46987,2","47504,31","47393,92","+0,24"
"2006-10-13","47110,4","47067,08","47367,96","47280,43","+0,7"
"2006-10-12","46244,21","46229,47","46989,05","46950,76","+1,32"
"2006-10-11","46352,5","46143,55","46505,58","46340,32","+0,44"
"2006-10-10","45716,25","45716,25","46451,62","46138,35","+1,48"
"2006-10-09","44941,65","44933,66","45464,58","45464,58","+1,11"
"2006-10-06","44981,12","44854,51","45140,7","44966,63","-0,09"
"2006-10-05","44777,06","44777,06","45038,63","45008,8","+1,67"
"2006-10-04","43849,12","43725,35","44344,4","44267,46","+0,59"
"2006-10-03","44005,08","43818,46","44190,61","44007,66","-0,46"
"2006-11-30","50574,47","49983,04","50630,48","50230,32","-0,39"
"2006-11-29","49587,6","49565,56","50425,36","50425,36","+2,19"
"2006-11-28","49104,94","48939,27","49407,67","49344,9","-0,27"
"2006-11-27","49655,56","49385,87","49859,57","49477,9","-0,18"
"2006-11-24","49693,09","49316,41","49708,54","49566,07","-0,27"
"2006-11-23","49569,96","49568,97","49805,66","49701,36","+0,01"
"2006-11-22","49279,21","49279,21","49819,96","49698,12","+1,47"
"2006-11-21","48657,69","48635,65","48977,6","48977,6","+1,23"
"2006-11-20","48121,08","47837,68","48489,97","48381,06","+0,17"
"2006-11-17","48336,92","47852,01","48336,92","48300,38","-0,47"
"2006-11-16","48046,41","47810,88","48708,07","48526,8","+0,89"
"2006-11-15","49024,39","47765,89","49110,03","48099,01","-1,64"
"2006-11-14","49104,4","48553,33","49163,36","48900,38","-0,12"
"2006-11-13","48987,62","48391,88","49270,68","48958,52","-0,15"
"2006-11-10","49394,43","49027,78","49619,11","49032,64","-1,05"
"2006-11-09","49830,65","49554,85","50091,12","49555,18","+0,24"
"2006-11-08","49442,9","49097,19","49501,15","49437,06","-0,2"
"2006-11-07","49024,56","48935,89","49613,28","49534,64","+1,57"
"2006-11-06","48025,23","47994,99","48767,01","48767,01","+1,95"
"2006-11-03","47498,78","47288,83","47833,42","47833,42","+1"
"2006-11-02","47194,26","47098,06","47418,4","47361,53","+0,01"
"2006-12-29","50467,41","49987,46","50500,86","50411,82","-0,13"
"2006-12-28","50929,27","50182,99","51017,67","50477,49","-0,52"
"2006-12-27","50242,41","50242,41","50740,32","50740,19","+2,03"
"2006-12-22","50354,22","49725,4","50390,95","49730,58","-1"
"2006-12-21","50074,51","49910,05","50304,33","50232,37","+0,13"
"2006-12-20","51125,02","49931,64","51241,77","50164,95","-1,21"
"2006-12-19","51848,05","50777,92","51848,05","50778,15","-2,8"
"2006-12-18","51960,45","51650,36","52242,23","52242,23","+0,54"
"2006-12-15","52158,75","50477,07","52177,96","51961,96","-0,15"
"2006-12-14","52010,62","51701,79","52190,51","52037,95","+0,21"
"2006-12-13","51723,77","51681,52","52254,03","51927,09","+0,35"
"2006-12-12","52057,86","51635,9","52150,69","51747,14","-0,53"
"2006-12-11","52307,8","51874,63","52314,7","52024,79","-0,27"
"2006-12-08","52082,49","51851,61","52169,88","52166,51","-0,33"
"2006-12-07","52115,28","51986,83","52523,75","52338,99","+0,61"
"2006-12-06","52417,56","51863,21","52478,32","52019,87","-0,67"
"2006-12-05","51593,93","51569,51","52444,5","52370,79","+1,33"
"2006-12-04","50796,96","50796,96","51680,97","51680,97","+2,13"
"2006-12-01","50601,83","50441,59","50998,82","50601,74","+0,74"
